train_loss,test_loss,train_acc,test_acc,step_time,gap,sat_ratio
1.7196786827443507,1.4990851426124572,35.924,44.86,0.020848429721334705,-0.22059354013189347,
1.2238869456683887,1.2011455410718919,55.57,59.64,0.020646964192695325,-0.022741404596496873,
0.9106615612573941,0.8071007573604584,67.83,71.95,0.020352939815472457,-0.10356080389693567,
0.7482095616857719,0.8970277625322342,74.164,70.55,0.019921102792100832,0.14881820084646225,
0.6552747010117601,0.6837248134613038,77.27,76.48,0.020124448839660802,0.028450112449543652,
0.6025788439509204,0.7500554504990578,79.392,74.33,0.020085148799145008,0.14747660654813732,
0.5655856195770567,0.7289022156596183,80.508,75.98,0.020070500995801842,0.16331659608256166,
0.5382199835441911,0.6106023094058037,81.534,78.75,0.01998969600023821,0.07238232586161264,
0.5102280699231131,0.6682888659834861,82.53,77.75,0.020214469231607968,0.15806079606037304,
0.4928441099498583,0.6576701951026916,83.05,78.38,0.02018196991337535,0.16482608515283337,
0.4772123718810508,0.6915672117471695,83.53,76.39,0.019949685582114608,0.2143548398661187,
0.46575498558066386,0.5867439037561417,83.96,80.19,0.02015347188086156,0.12098891817547786,
0.44724844579044204,0.48772037476301194,84.692,83.61,0.02019599880403875,0.040471928972569904,
0.44066822056270316,0.59195661008358,84.988,80.71,0.020020501388003455,0.15128838952087686,
0.41914500315171066,0.4908101889491081,85.634,83.03,0.019985348977091366,0.07166518579739745,
0.4080912656796253,0.5426815313100815,85.988,81.52,0.020146678475772634,0.13459026563045617,
0.39031052154958096,0.6411992147564888,86.736,78.75,0.020221538251013402,0.2508886932069078,
0.37850164029451894,0.5183934006094932,86.892,82.9,0.019921152183161976,0.1398917603149743,
0.36896976375061535,0.4907522268593311,87.33,83.71,0.020141473511600737,0.12178246310871577,
0.3494918779339022,0.49127227485179903,88.032,83.36,0.020283632571130153,0.14178039691789684,
0.3397606227480237,0.5360235351324082,88.394,81.84,0.02033021200038588,0.19626291238438448,
0.3300627414375315,0.48524002969264984,88.686,83.77,0.02014827423388391,0.15517728825511834,
0.3124525623629465,0.370808125436306,89.352,87.22,0.020257037618885868,0.058355563073359484,
0.3013182156683539,0.5283863985538483,89.644,82.98,0.0200168049853781,0.2270681828854944,
0.29041438890844967,0.4386780759692192,90.094,85.14,0.01993140906019284,0.14826368706076953,
0.2817179906703627,0.40924637526273727,90.38,86.29,0.020179521092368514,0.1275283845923746,
0.26254033910877567,0.3871987919509411,91.012,87.04,0.020169393485769287,0.12465845284216542,
0.25228743552399413,0.49406268119812013,91.32,83.73,0.020035850422461626,0.241775245674126,
0.23291960032775882,0.43343274399638176,92.014,86.21,0.020320048417581622,0.20051314366862294,
0.2192786194555595,0.38742601826786993,92.52,87.08,0.020175504562495006,0.16814739881231044,
0.20383259859841193,0.3212401396781206,93.02,89.4,0.02015769451170626,0.11740754107970866,
0.18629282209879297,0.4024505138397217,93.622,87.55,0.02021534424608626,0.21615769174092872,
0.17443146847207527,0.31185538426041604,93.968,89.72,0.019885457080343494,0.13742391578834076,
0.1568456542728197,0.3218845692276955,94.646,89.68,0.020139709458021862,0.16503891495487577,
0.14264989268901707,0.3092514929920435,94.946,90.16,0.020122120752358984,0.16660160030302645,
0.12485244724413623,0.2938000782579184,95.662,90.54,0.020265793251564437,0.16894763101378213,
0.11213987531221431,0.25849356114864347,96.152,91.5,0.020195648798247434,0.14635368583642916,
0.0889405385088509,0.27300305880606174,96.99,91.72,0.02015154197087983,0.18406252029721082,
0.07568748170972023,0.24243435204029085,97.444,92.49,0.02017807960510254,0.16674687033057062,
0.060283294250078674,0.2644920805096626,97.932,92.15,0.02017923084366352,0.20420878625958394,
0.048561709501859174,0.23141309544444083,98.396,93.07,0.020103476541426482,0.18285138594258166,
0.035749736161011715,0.24877264577895403,98.864,92.94,0.02018081013808775,0.21302290961794232,
0.029362071845609017,0.22574027135968208,99.054,93.44,0.020051199456919796,0.19637819951407307,
0.022043266442909246,0.21798842310905456,99.338,93.88,0.020269168307409262,0.19594515666614531,
0.017879496049850493,0.2167476475611329,99.496,93.91,0.020103458248440873,0.1988681515112824,
0.01099763370548968,0.2163100328668952,99.736,94.11,0.020009445717267673,0.20531239916140553,
0.010352655612539662,0.2148461404815316,99.754,94.17,0.020021231278129246,0.20449348486899194,
0.008458412673218353,0.21503993697464466,99.812,94.2,0.02019324388040606,0.20658152430142632,
0.008795582921580052,0.21556266371160746,99.758,94.2,0.020305483542439884,0.2067670807900274,
0.007472606146555689,0.21287343233823777,99.814,94.35,0.020109619935760107,0.2054008261916821,
