train_loss,test_loss,train_acc,test_acc,step_time,gap,sat_ratio
1.7608759043466709,1.3737559556961059,36.494,49.86,0.033646102451607394,-0.387119948650565,
1.1775614229004707,0.9978259128332138,57.664,64.65,0.02507622040751035,-0.17973551006725696,
0.9185423291552707,0.833233414888382,67.562,70.31,0.022541653469700336,-0.08530891426688869,
0.773265380841082,0.9527545928955078,73.096,69.58,0.02440293426708797,0.1794892120544258,
0.7055576372786861,0.8449806296825408,75.43,71.23,0.024476851953569887,0.1394229924038547,
0.6558422033134323,0.7062155586481095,77.362,75.31,0.02305506135496642,0.05037335533467713,
0.6267664707682626,0.6932467553019523,78.286,76.19,0.023385678410834974,0.0664802845336897,
0.6037198523883625,0.6708035153150559,79.144,76.95,0.02387482308975571,0.06708366292669343,
0.5913852335089613,0.6537495511770248,79.682,77.7,0.023976504650262312,0.062364317668063496,
0.5784348991063549,0.8125221365690232,80.156,72.74,0.02275752106590954,0.23408723746266824,
0.5689323696943805,0.7700714787840843,80.572,75.0,0.02425535011779317,0.20113910908970378,
0.561333201959005,0.6250893899798393,80.87,78.98,0.025021674383021986,0.06375618802083427,
0.5482537390478431,0.649119725227356,81.332,78.17,0.023469820046973656,0.10086598617951281,
0.546443855899679,0.8746950781345367,81.238,72.06,0.02409693835031651,0.3282512222348577,
0.5394895204040401,0.6974797481298447,81.612,76.54,0.023677842391421424,0.15799022772580462,
0.5344113366835562,0.673210917711258,81.696,77.61,0.023780894096550126,0.13879958102770174,
0.5230609008570766,0.6065905022621155,81.88,79.31,0.022714833164458995,0.08352960140503896,
0.5138061746307041,0.6043549451231957,82.324,79.34,0.025062929333933174,0.09054877049249155,
0.5003913485485575,0.7635714507102966,82.932,75.27,0.025155186348254113,0.26318010216173915,
0.4935047999214943,0.5700765487551689,83.016,80.75,0.023190110540755874,0.07657174883367457,
0.47565401004403446,0.6815691509842873,83.748,77.01,0.023953129873251367,0.20591514094025282,
0.46580867145372473,0.6300334313511848,83.934,79.21,0.025075927109974423,0.1642247598974601,
0.45528410089290355,0.5129887701570988,84.38,82.83,0.025086673019487228,0.05770466926419521,
0.43789721510904217,0.6585045462846756,84.96,77.86,0.022634723302348496,0.22060733117563341,
0.42967700154122795,0.5272281739115715,85.078,81.91,0.023793351619749728,0.09755117237034355,
0.4146405712265493,0.46589366972446444,85.772,84.32,0.02512173030687415,0.05125309849791515,
0.40820680566303563,0.5333157661557197,86.146,81.97,0.023220510434006792,0.1251089604926841,
0.3873886818547383,0.45191228240728376,86.556,84.65,0.02324479315287012,0.06452360055254547,
0.37609491171434406,0.41331095367670057,86.992,86.12,0.02505432126467185,0.037216041962356505,
0.3570121929544927,0.39178870126605037,87.932,86.45,0.024407768493418195,0.03477650831155765,
0.3443198708240943,0.46735491782426836,88.166,84.62,0.022571572867195928,0.12303504700017404,
0.32485799098868506,0.4058459824323654,88.75,85.91,0.02504367535681371,0.08098799144368035,
0.31192432641220824,0.379948954731226,89.284,87.06,0.02476279631904934,0.06802462831901773,
0.29508398073103725,0.3705515679717064,89.79,87.86,0.02407250928756831,0.07546758724066915,
0.27540095866946,0.3692820364236832,90.452,87.58,0.023100563937135974,0.09388107775422316,
0.2609510444619162,0.34878713846206666,90.952,88.47,0.025110155115347078,0.08783609400015047,
0.23496492978785655,0.3048195128142834,91.93,89.87,0.025127926750866045,0.06985458302642683,
0.22227285095416677,0.33937501825392247,92.28,88.85,0.022665082341264884,0.1171021672997557,
0.2019970754966559,0.310939120054245,93.032,89.87,0.024937863849922824,0.1089420445575891,
0.17864319922216712,0.26676121555268767,93.812,91.11,0.02375224911038528,0.08811801633052055,
0.1608349814286927,0.2721215386688709,94.502,90.81,0.023370653162222078,0.11128655724017819,
0.14340480888629203,0.26112218797206876,95.114,91.45,0.023640594214124754,0.11771737908577673,
0.12211135857740936,0.2510139686614275,95.88,91.79,0.02504051920703,0.12890261008401815,
0.10741943683084625,0.235578283816576,96.324,92.57,0.025062409813141884,0.12815884698572977,
0.09328910433079886,0.23874773174524308,96.842,92.72,0.022882723137545767,0.1454586274144442,
0.07763458588315397,0.23007373355329036,97.434,92.78,0.024125429675402238,0.1524391476701364,
0.06985891725191527,0.23197864346206187,97.736,93.01,0.025125561467826824,0.1621197262101466,
0.06272055325157883,0.2322221202403307,98.002,92.97,0.023387751006104452,0.16950156698875188,
0.060356746630176254,0.22951106823980807,98.044,93.1,0.023062994413058775,0.1691543216096318,
0.05711562483264205,0.22919238865375519,98.236,93.11,0.025127543207934446,0.17207676382111314,
