train_loss,test_loss,train_acc,test_acc,step_time,gap,sat_ratio
1.5581935346888764,1.6810924446582793,42.472,43.78,0.06860724007686995,0.12289890996940289,
1.007148474073776,1.0635219538211822,63.942,65.02,0.04130186510208013,0.05637347974740625,
0.7684429938073658,0.8134706550836563,72.948,71.41,0.04393124580383301,0.04502766127629054,
0.6313880763547804,1.0748950564861297,78.242,66.71,0.04551422565489474,0.44350698013134926,
0.5625339754097297,0.6882510676980018,80.646,76.88,0.04550689992392459,0.1257170922882721,
0.5139145665156567,0.6371356531977653,82.216,78.69,0.042901501326304874,0.12322108668210863,
0.47914891261273945,0.5474536013603211,83.602,81.94,0.04548441784461136,0.06830468874758161,
0.4502836601508548,0.5882881781458855,84.712,81.0,0.04487530776606801,0.13800451799503072,
0.42624014646500885,0.9433460539579391,85.418,71.06,0.04400601045554861,0.5171059074929303,
0.41533109679094055,0.9081852120161057,85.658,72.37,0.044724196119381644,0.49285411522516515,
0.3980822570793464,0.7445615881681442,86.172,76.93,0.044879068194142994,0.3464793310887978,
0.38990880495599467,1.010521768927574,86.542,69.67,0.04518553302111223,0.6206129639715794,
0.36673914231455235,0.7473971229791642,87.382,76.7,0.043376896387475834,0.3806579806646118,
0.3611736448524553,0.7910366225242614,87.628,74.73,0.044887025033116645,0.42986297767180615,
0.3451236048927697,0.5707675263285636,88.15,82.02,0.04551605312415706,0.22564392143579393,
0.34214568942251716,0.5354397734999656,88.172,82.36,0.04325970115564059,0.19329408407744847,
0.31985985501038144,0.6716696533560753,89.064,79.41,0.04476195832957392,0.35180979834569387,
0.3144015714030741,0.48992777451872827,89.042,84.41,0.04550927801205374,0.17552620311565414,
0.2949591210240598,0.5084689500927925,89.852,83.11,0.04455581589428055,0.21350982906873267,
0.28426796178836045,0.47195191159844396,90.18,84.8,0.04415408119826061,0.18768394981008352,
0.275665571679697,0.5200195491313935,90.526,83.11,0.044890861681965,0.24435397745169646,
0.26391891856937455,0.44731005862355233,91.076,84.89,0.045500081518422004,0.18339114005417778,
0.2505123147459896,0.5270132523775101,91.342,83.44,0.04295962911737544,0.27650093763152045,
0.2392141739540088,0.45672818794846537,91.774,85.03,0.04487561203939531,0.21751401399445658,
0.2243128485996705,0.5258460590243339,92.236,83.21,0.04550773530360073,0.3015332104246634,
0.21392043737118202,0.3561608038842678,92.602,88.48,0.043932500702645774,0.14224036651308578,
0.20893453983852014,0.4049770697951317,92.67,86.75,0.04434361787098448,0.19604252995661156,
0.19468134195755815,0.44200939282774926,93.392,86.0,0.04550021749628169,0.2473280508701911,
0.17223421665256286,0.4528610594570637,94.12,86.58,0.04457788638141759,0.2806268428045008,
0.15618944018507552,0.3990308748185635,94.592,87.37,0.04343541077030894,0.24284143463348795,
0.14373819068874544,0.4197200235724449,95.058,87.2,0.04551384638032645,0.2759818328836995,
0.12851459380534605,0.5223328272998333,95.48,84.73,0.04488485670455582,0.3938182334944873,
0.1122919325633427,0.4426430486142635,96.088,86.97,0.043294942592415966,0.3303511160509208,
0.09626886268596516,0.40617959395051,96.734,88.36,0.04485928493997325,0.3099107312645448,
0.08553831007741296,0.2971230683475733,97.16,91.08,0.045510262174679496,0.21158475827016032,
0.06985373548744127,0.2931780431419611,97.736,91.3,0.044116275694669055,0.22332430765451983,
0.05222324382447068,0.3274119796603918,98.318,90.69,0.04390497585696637,0.2751887358359211,
0.04304663435844204,0.27542308628559115,98.664,91.72,0.04488138408612107,0.23237645192714912,
0.03014262330115718,0.2806839197874069,99.142,92.05,0.04551607629527216,0.25054129648624973,
0.019200626620189155,0.2455238499864936,99.558,93.07,0.04308747025706884,0.22632322336630445,
0.014033211156359072,0.219577631726861,99.724,93.85,0.04550609625209018,0.20554442057050193,
0.009497972097202583,0.2159915502369404,99.866,94.02,0.04549799977665972,0.20649357813973782,
0.007681525109604935,0.20852986983954908,99.916,94.35,0.04384144126911602,0.20084834472994414,
0.0068768507659868775,0.20959740493446588,99.922,94.08,0.044915954170324617,0.202720554168479,
0.0058209821760482955,0.21074735075235368,99.96,94.04,0.04549886198604808,0.2049263685763054,
0.005322461221021746,0.21069161627441646,99.966,94.22,0.04451745062532937,0.2053691550533947,
0.004637819509703161,0.20672014191746713,99.982,94.23,0.043706743918416446,0.20208232240776397,
0.0044073062196202445,0.2045134925097227,99.986,94.28,0.044897358740687066,0.20010618629010246,
0.004350502102914483,0.2048393042385578,99.984,94.3,0.04487631753887362,0.20048880213564332,
0.00465409684559459,0.20466674163937568,99.968,94.3,0.04318983963383433,0.20001264479378109,
