train_loss,test_loss,train_acc,test_acc,step_time,gap,sat_ratio
1.9969720404471278,1.5452059054374694,29.054,41.48,0.012925788874516403,-0.45176613500965845,
1.4196416395704459,1.398861974477768,47.354,50.6,0.012926111440829304,-0.020779665092677924,
1.166799215709462,1.0837682873010634,57.834,61.61,0.01226981582544039,-0.08303092840839854,
0.9862576514253836,0.921608436703682,65.114,67.57,0.01222728951202939,-0.0646492147217016,
0.8425155884164679,0.9722442799806594,70.602,68.58,0.012938228714496583,0.12972869156419153,
0.7181971987037707,0.855014226436615,74.974,71.49,0.012958757712712984,0.1368170277328442,
0.638057560567051,0.7669266074895859,77.93,74.21,0.012936206729820623,0.12886904692253487,
0.5692502339477734,0.718042044043541,80.54,75.41,0.01293167128892201,0.14879181009576758,
0.5312570194759028,0.5714240476489068,81.734,80.93,0.012823395716869617,0.040167028173003994,
0.496297573951809,0.5246312209963798,83.174,82.25,0.012032978979827802,0.02833364704457081,
0.4624711202690973,0.5247466385364532,84.38,83.06,0.01237243642587491,0.06227551826735589,
0.4352614198956648,0.6276229092478752,85.334,80.15,0.013048292121009143,0.19236148935221042,
0.4119028027176552,0.6486794462800026,85.98,79.29,0.013068955877552862,0.2367766435623474,
0.39346082333256216,0.4872171379625797,86.458,84.54,0.01311150048394947,0.09375631463001755,
0.37283281734227525,0.4793873682618141,87.438,84.66,0.013062263083884784,0.10655455091953886,
0.3524408680017647,0.43277984648942946,88.02,86.03,0.012515283911429403,0.08033897848766475,
0.3436236200506425,0.4263377460837364,88.476,85.98,0.012139135614380507,0.08271412603309392,
0.33172813450436456,0.39128504171967504,88.594,87.26,0.012930692614191937,0.059556907215310484,
0.3058190989829695,0.5451563715934753,89.512,82.79,0.013024080744789689,0.2393372726105058,
0.30021302127624716,0.38458819642663,89.796,87.68,0.013036157164122443,0.08437517515038284,
0.28367117226428695,0.39080462127923965,90.368,87.12,0.013001901719271375,0.1071334490149527,
0.2696132057386896,0.43560677468776704,90.908,85.83,0.01300885183427035,0.16599356894907746,
0.25570602213863824,0.36566317059099673,91.2,88.51,0.01219927136550474,0.10995714845235849,
0.25195841716073664,0.36770245552062986,91.338,88.56,0.01226063152713239,0.11574403835989322,
0.2335601407091331,0.349905261695385,92.008,88.79,0.012958888812443179,0.11634512098625188,
0.220148085309264,0.3365714132785797,92.534,89.3,0.012946580681959382,0.1164233279693157,
0.205960297123398,0.3307482333481312,92.914,90.09,0.012969121298826564,0.12478793622473319,
0.19578070208773285,0.35529014497995376,93.324,89.03,0.012942465979729771,0.1595094428922209,
0.18534475107632026,0.35113906547427176,93.546,89.66,0.012644156775511135,0.1657943143979515,
0.1692494487632876,0.3287617087364197,94.162,90.01,0.012081097458939418,0.1595122599731321,
0.15868901963467183,0.33907033167779443,94.45,89.72,0.012679695778185755,0.1803813120431226,
0.14837127862988836,0.3182486243546009,94.934,90.21,0.01300131695349808,0.16987734572471253,
0.13628254628852202,0.3335719223320484,95.264,90.12,0.012946221529675261,0.1972893760435264,
0.1262553983637134,0.3133867406845093,95.7,90.78,0.012987128304093695,0.18713134232079587,
0.11477453602701806,0.3250518436729908,95.98,90.82,0.012984280086234402,0.21027730764597272,
0.10448731103306994,0.30256346747279167,96.404,91.13,0.012117194397675108,0.19807615643972173,
0.08951318481236772,0.3064044734090567,96.94,91.36,0.012142636282059848,0.21689128859668896,
0.08200653520939143,0.3075189487636089,97.188,91.44,0.012947764847894458,0.22551241355421747,
0.07485899427796111,0.31204166792333127,97.436,91.39,0.012964913912136536,0.23718267364537016,
0.06517382437491889,0.3130165181308985,97.78,91.54,0.013028635088440097,0.2478426937559796,
0.061394458505637045,0.3127189254760742,97.892,91.46,0.01298239285988576,0.2513244669704372,
0.05170883234266354,0.3127527815848589,98.256,91.98,0.012743182804273523,0.26104394924219537,
0.04642462529613615,0.31405867613852023,98.506,91.94,0.012185996145848423,0.26763405084238406,
0.04052127924893061,0.32142879091203214,98.724,91.98,0.012490285327062582,0.2809075116631015,
0.03920921029956521,0.3168929310142994,98.716,92.01,0.012941723284514053,0.2776837207147342,
0.034789298032231804,0.3169737140089273,98.954,92.04,0.012951189294800429,0.2821844159766955,
0.03459068499934262,0.3188161911070347,98.898,92.23,0.01294875571794827,0.28422550610769204,
0.03152431928150146,0.3192150404304266,99.054,92.13,0.01293959946888487,0.28769072114892513,
0.03174050027728462,0.3172090559452772,99.042,92.01,0.01233173758172623,0.28546855566799256,
0.030348674362034672,0.318121275678277,99.108,92.11,0.012222963220932904,0.2877726013162424,
